id,transaction_id,spare_id,tool_id,issue_to,withdrawl_qty,withdrawl_date,box_no,service_no,name,created_by,created_at
1,PI1774089929706,64,-1,Control,2,2026-03-21,,12,Sudipto Dutta 3333,1,2026-03-21 16:15:29
2,PI1774089998634,62,-1,Control,6,2026-03-21,,12345,Sudipto Dutta,1,2026-03-21 16:16:38
3,PI1774106505252,46,-1,Control,5,2026-03-20,,123456,NEW PERSON,1,2026-03-21 20:51:45
4,PI1774106557516,46,-1,AER,1,2026-03-17,,123456,NEW PERSON,1,2026-03-21 20:52:37
5,TEMP1774151155914,-1,5,Control,1,2026-03-26,,123456,NEW PERSON,1,2026-03-22 09:15:55
6,PI1774152970773,-1,5,AER,10,2026-03-22,,12,Sudipto Dutta 3333,1,2026-03-22 09:46:10
7,PI1774235494568,-1,5,AER,1,,,12,Sudipto Dutta 3333,1,2026-03-23 08:41:34
8,PI1774235520213,-1,5,FER,1,2026-03-23,,12,Sudipto Dutta 3333,1,2026-03-23 08:42:00
9,PI1774240915402,-1,11,Control,1,2026-03-23,,12345,Sudipto Dutta,1,2026-03-23 10:11:55
10,PI1774248778458,46,-1,FER,1,,,123456,NEW PERSON,1,2026-03-23 12:22:58
11,PI1774265440027,-1,5,AER,1,,,123456,NEW PERSON,1,2026-03-23 17:00:40
12,PI1774322216280,-1,7,AER,2,2026-03-24,,12345,Sudipto Dutta,1,2026-03-24 08:46:56
13,PI1774333354520,15,-1,AER,1,2026-03-24,,123456,NEW PERSON,1,2026-03-24 11:52:34
14,PI1774421279627,-1,17,AER,12,2026-03-25,,123456,NEW PERSON,1,2026-03-25 12:17:59
15,PI1774422207123,-1,17,OMS,20,2026-03-25,,12,Sudipto Dutta 3333,1,2026-03-25 12:33:27
16,PI1774448901187,22,-1,AER,1,2026-03-25,,123456,NEW PERSON,1,2026-03-25 19:58:21
17,PI1774448922177,22,-1,AER,1,2026-03-25,,12,Sudipto Dutta 3333,1,2026-03-25 19:58:42
